topic_id,rank,term,weight
0,1,tim,0.01472140613259324
0,2,musim,0.012422506493019802
0,3,bola,0.011113402065943103
0,4,klub,0.010443500170628055
0,5,sepak,0.009290198820441832
0,6,pertandingan,0.009092888676363644
0,7,liga,0.007880708382988226
0,8,pemain,0.007829224873931954
0,9,piala,0.007275916449920617
0,10,bermain,0.0069475419525641385
0,11,stadion,0.006681514665697522
0,12,gol,0.005779049186752069
0,13,babak,0.00552239855480808
0,14,juara,0.004983946652057854
0,15,final,0.004766353229463873
1,1,spesies,0.07446802663071876
1,2,kelas,0.04552334483532751
1,3,ordo,0.04491259701438736
1,4,genus,0.04410915790683008
1,5,lalat,0.04274759260633681
1,6,filum,0.04243151862661459
1,7,famili,0.04241516020640565
1,8,animalia,0.042366103403554047
1,9,kingdom,0.04218946863806317
1,10,arthropoda,0.04131345182588657
1,11,insecta,0.04130515097885748
1,12,tergolong,0.03852804135646003
1,13,kumbang,0.03211798031201383
1,14,coleoptera,0.028481431586971726
1,15,tanduk,0.026338359377775362
2,1,kapal,0.010936996990197612
2,2,pasukan,0.010323352371256799
2,3,perang,0.008046012549888976
2,4,angkatan,0.0073017258818250394
2,5,pertempuran,0.006190621331071868
2,6,tentara,0.00574943349360941
2,7,serangan,0.005693428290178096
2,8,militer,0.005097180170411912
2,9,jepang,0.004901070664316098
2,10,orang,0.004302148700721343
2,11,laut,0.0042032759653369434
2,12,darat,0.003697457504002261
2,13,senjata,0.0033822679659561037
2,14,operasi,0.0031500688924943703
2,15,tni,0.003101415520228537
3,1,desa,0.009997036034115446
3,2,bin,0.007970078293020655
3,3,agama,0.007015440211241858
3,4,islam,0.005918102772423038
3,5,orang,0.005265390394131234
3,6,candi,0.004937108346819859
3,7,dewa,0.00486632742154155
3,8,masjid,0.004799729482464074
3,9,aceh,0.0045027252997413315
3,10,masyarakat,0.004171322502356403
3,11,petani,0.003569725728861872
3,12,bangunan,0.0034006941358366133
3,13,nusa,0.00337584703281276
3,14,pertanian,0.0033476984198178073
3,15,pesantren,0.0031389401475630982
4,1,kota,0.0172445824215206
4,2,laba,0.014959751881461853
4,3,pulau,0.013788432156653166
4,4,nama,0.010199550285857869
4,5,ilmiah,0.010045219935115418
4,6,diterbitkan,0.009693348760510983
4,7,wilayah,0.009602555178406564
4,8,terletak,0.009419431546882882
4,9,kali,0.008794753815877045
4,10,laut,0.008397738741523783
4,11,utara,0.008200334700147234
4,12,selatan,0.007745060070527349
4,13,barat,0.007479893298110559
4,14,araneae,0.007298262243468707
4,15,timur,0.006535374708295779
5,1,desa,0.023786275197294062
5,2,kecamatan,0.019975752203531223
5,3,kabupaten,0.015864222860067376
5,4,jawa,0.008941825349995281
5,5,indonesia,0.0068253253950452146
5,6,kelurahan,0.006120868580882868
5,7,timur,0.005150818915597625
5,8,wilayah,0.005140892331786723
5,9,selatan,0.004864047214055207
5,10,kota,0.004854028177305432
5,11,daerah,0.004770358007580856
5,12,provinsi,0.004751841044035648
5,13,film,0.0046740808478444905
5,14,sebelah,0.0046085237718879075
5,15,barat,0.004581241789351157
6,1,negara,0.006521098883383735
6,2,bahasa,0.005583452357179601
6,3,suku,0.004689359008240064
6,4,ikan,0.00460585319795511
6,5,ekonomi,0.004286747124452138
6,6,bangsa,0.0040440888378827896
6,7,eropa,0.003991152385501225
6,8,teori,0.0037102801953761634
6,9,kelompok,0.0036572774655966884
6,10,masyarakat,0.0032461344441934463
6,11,orang,0.0030453904569017354
6,12,produk,0.0030182513442902127
6,13,sosial,0.0028333350011414756
6,14,industri,0.0025698307520742804
6,15,budaya,0.002514611223497134
7,1,pesawat,0.010819232727503156
7,2,kereta,0.00800084811477107
7,3,stasiun,0.007070256248976446
7,4,jalur,0.006251739390308542
7,5,mesin,0.006046377452927875
7,6,api,0.00578810129926352
7,7,udara,0.005740812488824505
7,8,sistem,0.004839597577543862
7,9,penerbangan,0.003925996955674447
7,10,layanan,0.003806749436181214
7,11,penumpang,0.0035446663012396002
7,12,mobil,0.00339417528844504
7,13,perangkat,0.003346715647262239
7,14,terbang,0.003240457345613393
7,15,memiliki,0.002962050211357991
8,1,album,0.018335266200392972
8,2,lagu,0.016786527985421195
8,3,musik,0.015602124285162625
8,4,batu,0.008725269230469575
8,5,band,0.008163666387468918
8,6,oksigen,0.008097594697999888
8,7,air,0.008068679736073666
8,8,proses,0.007693509261460663
8,9,keras,0.0076261792171959455
8,10,permukaan,0.0075296435615849495
8,11,menyerap,0.00722593037993966
8,12,tubuh,0.0071443717797390815
8,13,grup,0.007110181913842571
8,14,difusi,0.006738078464895777
8,15,berpori,0.00662844300171874
9,1,anak,0.0073915259874265974
9,2,orang,0.004539088140586668
9,3,rumah,0.0044330138073280425
9,4,laki,0.0036401408472049052
9,5,masjid,0.0034869232613811427
9,6,buku,0.0032549404621611618
9,7,meninggal,0.003075221388450602
9,8,keluarga,0.0030664925327196033
9,9,wanita,0.0029215981012675678
9,10,perempuan,0.0029166458119742455
9,11,teman,0.002883694228805405
9,12,sakit,0.00283446572700932
9,13,sang,0.0025111133361364487
9,14,ayahnya,0.0024766975180818946
9,15,pergi,0.0024183992913028385
10,1,film,0.026163869738906956
10,2,karya,0.00686979878845586
10,3,amerika,0.006424972260423335
10,4,museum,0.005414028448502209
10,5,serial,0.005254938742370364
10,6,disutradarai,0.00501833638954709
10,7,drama,0.004935839669412202
10,8,televisi,0.004927588860129913
10,9,seni,0.004622453794898191
10,10,serikat,0.004506675357376996
10,11,novel,0.004270578955750166
10,12,video,0.004259645920697532
10,13,dirilis,0.00404903253820549
10,14,dibintangi,0.004020488179056417
10,15,ditulis,0.0035770681961085128
11,1,penghargaan,0.015002560136302433
11,2,terbaik,0.010582025853654335
11,3,film,0.00835524544577292
11,4,memenangkan,0.005872074210990132
11,5,academy,0.0058344677515194876
11,6,acara,0.005723334166054715
11,7,kategori,0.005684202902789117
11,8,awards,0.005673481523199107
11,9,windows,0.005563604556625667
11,10,award,0.00530704970186497
11,11,festival,0.005305493769894269
11,12,nominasi,0.004322632816702448
11,13,meraih,0.004149621111419055
11,14,medali,0.003687782707284014
11,15,miss,0.0035741787319201615
12,1,sekolah,0.011762013323359731
12,2,negeri,0.010803696766965305
12,3,indonesia,0.006935010913123526
12,4,sma,0.006228055086148325
12,5,negara,0.005654507876867807
12,6,republik,0.00548840623673128
12,7,pemerintah,0.005250825780728499
12,8,bahasa,0.005012657088574769
12,9,pemerintahan,0.004965963319744805
12,10,belanda,0.0047627975371273175
12,11,pendidikan,0.004604001098420304
12,12,tanggal,0.0045754686928528914
12,13,smp,0.00399732851038826
12,14,menengah,0.0037919190069023107
12,15,kemerdekaan,0.003593805685443623
13,1,sungai,0.0076694725481067025
13,2,air,0.0073303456633356
13,3,stasiun,0.006660451949541708
13,4,tanah,0.006088821307424368
13,5,gunung,0.005476532701187432
13,6,hutan,0.005431162677758605
13,7,jalan,0.005048857880809962
13,8,jembatan,0.00436637520877897
13,9,meter,0.004296940675925976
13,10,pasar,0.003930479186909891
13,11,tanaman,0.0037759629561493558
13,12,daerah,0.003693893427862617
13,13,pegunungan,0.003648005677622143
13,14,saham,0.003574775750721304
13,15,jalur,0.0035008579783659256
14,1,universitas,0.00839533714934002
14,2,partai,0.006496005059270684
14,3,indonesia,0.0058784647373448335
14,4,pendidikan,0.005571286132087558
14,5,presiden,0.005133600428313674
14,6,ketua,0.005107425822885641
14,7,program,0.004957945820092476
14,8,menteri,0.004770087336576944
14,9,bidang,0.004300638118928817
14,10,anggota,0.004208780497344823
14,11,menjabat,0.004109727156005061
14,12,nasional,0.004025174352733954
14,13,dewan,0.003867159115851066
14,14,fakultas,0.003638220702394072
14,15,pemilihan,0.0035897877657344447
15,1,gereja,0.017460173702091297
15,2,katolik,0.00847635375929075
15,3,tumbuhan,0.007014339055501223
15,4,paus,0.006857520191242736
15,5,dewasa,0.0064174039572550655
15,6,kristen,0.006392125335530124
15,7,roma,0.006232013782958592
15,8,berumur,0.0062024674929482115
15,9,kebanyakan,0.0060929376688324734
15,10,lahir,0.005944844605148869
15,11,hidup,0.005901585285637237
15,12,orang,0.005846514593981344
15,13,pendek,0.005797668859082851
15,14,pertamanya,0.00571405851862813
15,15,makanan,0.005654299666003695
16,1,bahan,0.005848359838619251
16,2,asam,0.005656216694060111
16,3,senyawa,0.004397670250810055
16,4,bumi,0.0040996603029047115
16,5,reaksi,0.003770569527449814
16,6,gempa,0.0037296676041626477
16,7,air,0.0035631053721233118
16,8,ruang,0.003268299696627657
16,9,bangunan,0.003175549486702526
16,10,kimia,0.003085311594467611
16,11,makanan,0.00283755471852828
16,12,zat,0.0027668115891599497
16,13,gas,0.0027651012938091565
16,14,jalan,0.002527866760097053
16,15,masakan,0.0025218732171788673
17,1,raja,0.014208337356566179
17,2,kerajaan,0.009842772832810955
17,3,kaisar,0.007451410764054813
17,4,pangeran,0.006710096767445935
17,5,sultan,0.00660112183026639
17,6,putra,0.0055010279883030795
17,7,putri,0.004739685708281756
17,8,dinasti,0.004607527341054635
17,9,ratu,0.0036729193413628557
17,10,kesultanan,0.0036051412457415145
17,11,adipati,0.003461796220879467
17,12,sel,0.0034583522758342123
17,13,orang,0.0033753010599344552
17,14,anak,0.0033061126220198253
17,15,istana,0.0032210287640148075
18,1,warna,0.0056728379131832695
18,2,berwarna,0.0049277299252614044
18,3,putih,0.004351802587392608
18,4,penyakit,0.004134111279109717
18,5,hitam,0.003975001518816271
18,6,orang,0.0037479039898897968
18,7,tubuh,0.0036625707094667913
18,8,merah,0.0035861031254764203
18,9,kulit,0.00352529617451953
18,10,manusia,0.003089915844353652
18,11,sel,0.0029894010396825715
18,12,mata,0.002967155086983198
18,13,korea,0.002892882053142762
18,14,memiliki,0.0028612350056727806
18,15,naskah,0.0026196539968941245
19,1,jerman,0.011030497506355725
19,2,rusia,0.005945273231147161
19,3,soviet,0.005529323364311289
19,4,austria,0.00543268431075903
19,5,perang,0.005125824403819863
19,6,lagu,0.004949219882288598
19,7,bermain,0.004340090707608947
19,8,pemain,0.004165660115712378
19,9,dunia,0.004146210311407732
19,10,hongaria,0.004134373214218918
19,11,benteng,0.004038692721072864
19,12,inggris,0.0035566733173672204
19,13,uni,0.003497538971086285
19,14,perancis,0.0034310219712017954
19,15,burung,0.003426398353699203
